29520,86904,4300,226232
29520,86408,4300,226584
29520,86036,4300,226860
29520,83928,4308,227268
29520,92280,4316,227552
29520,92180,4316,227772
29520,90820,4320,228408
29520,89956,4320,229160
29520,89120,4320,229696
29520,88632,4328,230052
29520,87516,4348,230908
29520,87104,4348,231168
29520,86516,4348,231496
29520,86028,4356,231944
29520,85780,4356,232108
29520,85408,4356,232336
29520,84880,4364,232720
29520,84468,4364,232976
29520,84168,4364,233224
29520,83672,4372,233480
29520,83392,4372,233684
29520,83052,4372,233896
29520,82492,4372,234216
29520,82276,4372,234356
29520,81812,4380,234644
29520,80936,4392,235296
29520,80028,4396,235984
29520,79456,4396,236440
29520,78672,4396,236952
29520,78092,4420,237348
29520,77440,4420,237764
29520,76812,4420,238104
29520,76120,4420,238404
29520,75856,4428,238652
29520,74580,4428,238876
29520,74332,4428,239164
29520,74092,4436,239396
29520,73404,4436,239856
29520,73184,4436,240044
29520,72728,4448,240564
29520,73192,4448,240824
29520,74176,4448,241016
29520,75420,4456,241304
29520,74944,4456,241584
29520,82408,4456,241972
29520,90960,4456,242184
29520,90744,4456,242348
29520,90500,4464,242724
29520,90160,4464,243076
29520,88508,4476,244000
29520,88016,4476,244264
29520,87328,4476,244636
29520,86764,4484,244948
29520,86276,4484,245196
29520,84032,4496,246988
29520,83640,4512,247276
29520,83052,4512,247652
29520,82432,4520,248092
29520,82052,4520,248316
29520,81688,4520,248572
29520,81184,4520,248912
29520,80440,4520,249360
29520,80044,4528,249680
29520,79580,4528,249968
29520,79044,4528,250308
29520,78464,4536,250596
29520,77348,4536,251180
29520,76596,4536,251660
29520,75600,4548,252284
29520,74620,4556,252952
29520,74496,4556,252944
29520,74372,4556,253052
29520,73588,4564,253380
29520,72876,4564,253836
29520,71892,4564,254588
29520,71140,4564,255032
29520,70900,4564,255248
29520,70156,4572,255672
29520,69412,4572,256192
29520,68908,4572,256504
29520,68288,4572,256948
29520,67420,4580,257524
29520,66836,4592,257924
29520,66472,4592,258116
29520,66208,4592,258340
29520,65532,4600,258692
29520,66368,4592,257416
29520,81308,4376,242724
29520,80888,4376,242992
29520,80444,4384,243248 
29520,79888,4384,243648 
29520,79340,4384,244168 
29520,78640,4388,244876
29520,78304,4388,245156
29520,77784,4396,245432 
29520,77404,4404,245688
29520,76224,4412,246412
29520,75884,4412,246660
29520,75172,4412,247104
